case_id,region_id,hazard,lead_time_hours,risk_level,risk_score,confidence,rule_id,rule_status,supporting_count,contradicting_count,missing_count
20200820_00_072,SA-08,heatwave,72,low,0.0,medium,heatwave_candidate_region_season_duration,draft,0,2,1
20200820_00_024,SA-09,heavy_rain,24,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,1,4,0
20200820_00_024,SA-09,heatwave,24,low,0.0,medium,heatwave_candidate_region_season_duration,draft,1,1,1
20200820_00_048,SA-09,heavy_rain,48,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,2,3,0
20200820_00_048,SA-09,heatwave,48,low,0.0,medium,heatwave_candidate_region_season_duration,draft,1,1,1
20200820_00_072,SA-09,heavy_rain,72,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,2,3,0
20200820_00_072,SA-09,heatwave,72,low,0.0,medium,heatwave_candidate_region_season_duration,draft,1,1,1
20200820_00_024,SA-10,heavy_rain,24,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,0,5,0
20200820_00_024,SA-10,heatwave,24,low,0.0,medium,heatwave_candidate_region_season_duration,draft,0,2,1
20200820_00_048,SA-10,heavy_rain,48,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,1,4,0
20200820_00_048,SA-10,heatwave,48,low,0.0,medium,heatwave_candidate_region_season_duration,draft,0,2,1
20200820_00_072,SA-10,heavy_rain,72,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,1,4,0
20200820_00_072,SA-10,heatwave,72,low,0.0,medium,heatwave_candidate_region_season_duration,draft,0,2,1
20200820_00_024,SA-11,heavy_rain,24,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,1,4,0
20200820_00_024,SA-11,heatwave,24,low,0.0,medium,heatwave_candidate_region_season_duration,draft,1,1,1
20200820_00_048,SA-11,heavy_rain,48,low,0.0,medium,heavy_rain_candidate_region_season_p90_p95,draft,2,3,0
20200820_00_048,SA-11,heatwave,48,low,0.0,medium,heatwave_candidate_region_season_duration,draft,1,1,1
