case_id,case_role,lead_time_hours,region_id,training_case_count,fold_correction_degc,raw_forecast_tmax_degc,corrected_forecast_tmax_degc,observed_tmax_degc,event_threshold_degc,raw_hot_day,corrected_hot_day,observed_hot_day
20200706_00,event,24,SA-04,5,2.155670166015625,46.54095458984375,48.696624755859375,49.0,47.249969,False,True,True
20200706_00,event,48,SA-04,5,2.155670166015625,46.9930419921875,49.148712158203125,50.0,47.249969,False,True,True
20200706_00,event,72,SA-04,5,2.155670166015625,46.30001831054688,48.45568847656251,48.0,47.249969,False,True,True
20200715_00,event,24,SA-04,5,2.40399169921875,47.2911376953125,49.69512939453125,48.0,47.249969,True,True,True
20200715_00,event,48,SA-04,5,2.40399169921875,44.92669677734375,47.3306884765625,46.0,47.249969,False,True,False
20200715_00,event,72,SA-04,5,2.40399169921875,44.9852294921875,47.38922119140625,48.0,47.249969,False,True,True
20200619_00,control,24,SA-04,5,2.45904541015625,42.5836181640625,45.04266357421875,44.1,47.249969,False,False,False
20200619_00,control,48,SA-04,5,2.45904541015625,42.04400634765625,44.5030517578125,43.1,47.249969,False,False,False
20200619_00,control,72,SA-04,5,2.45904541015625,41.90130615234375,44.3603515625,43.0,47.249969,False,False,False
20200908_00,event,24,SA-04,5,2.155670166015625,44.647369384765625,46.80303955078125,46.0,47.0,False,False,False
20200908_00,event,48,SA-04,5,2.155670166015625,45.340362548828125,47.49603271484375,48.0,47.0,False,True,True
20200908_00,event,72,SA-04,5,2.155670166015625,44.10592651367188,46.26159667968751,47.0,47.0,False,False,True
20200806_00,event,24,SA-04,5,1.699981689453118,43.51437377929688,45.21435546875,46.0,47.249969,False,False,False
20200806_00,event,48,SA-04,5,1.699981689453118,44.59600830078125,46.29598999023437,47.0,47.249969,False,False,False
20200806_00,event,72,SA-04,5,1.699981689453118,45.696685791015625,47.39666748046874,49.0,47.249969,False,True,True
20200927_00,control,24,SA-04,5,2.40399169921875,42.33102416992188,44.73501586914063,45.0,47.0,False,False,False
20200927_00,control,48,SA-04,5,2.40399169921875,39.599700927734375,42.003692626953125,41.0,47.0,False,False,False
20200927_00,control,72,SA-04,5,2.40399169921875,39.844329833984375,42.248321533203125,42.0,47.0,False,False,False
